14837KMSN MSN20151101000010811/01/15 00:00:31  5-MIN KMSN 010600Z AUTO VRB05KT 10SM CLR 09/07 A2966 1110 86 700 VRB/05 RMK AO2 T00890067
14837KMSN MSN20151101000510811/01/15 00:05:31  5-MIN KMSN 010605Z AUTO VRB05KT 10SM CLR 09/07 A2966 1110 86 700 VRB/05 RMK AO2 T00890067
14837KMSN MSN20151101001010811/01/15 00:10:31  5-MIN KMSN 010610Z AUTO 23007KT 10SM CLR 09/07 A2966 1110 86 700 240/07 RMK AO2 T00890067
14837KMSN MSN20151101001510811/01/15 00:15:31  5-MIN KMSN 010615Z AUTO VRB06KT 10SM CLR 09/07 A2966 1100 86 700 VRB/06 RMK AO2 T00890067
14837KMSN MSN20151101002010811/01/15 00:20:31  5-MIN KMSN 010620Z AUTO VRB05KT 10SM CLR 09/07 A2966 1110 86 700 VRB/05 RMK AO2 T00890067
14837KMSN MSN20151101002510811/01/15 00:25:31  5-MIN KMSN 010625Z AUTO 23006KT 10SM CLR 09/07 A2966 1100 86 700 230/06 RMK AO2 T00890067
14837KMSN MSN20151101003010811/01/15 00:30:31  5-MIN KMSN 010630Z AUTO 24007KT 10SM CLR 09/07 A2967 1100 86 700 240/07 RMK AO2 T00890067
14837KMSN MSN20151101003511411/01/15 00:35:31  5-MIN KMSN 010635Z AUTO VRB06G15KT 10SM CLR 09/07 A2966 1100 86 700 VRB/06G15 RMK AO2 T00890067
14837KMSN MSN20151101004011411/01/15 00:40:31  5-MIN KMSN 010640Z AUTO VRB06G15KT 10SM CLR 09/07 A2966 1110 86 700 VRB/06G15 RMK AO2 T00890067
14837KMSN MSN20151101004512411/01/15 00:45:31  5-MIN KMSN 010645Z AUTO 24008KT 200V280 10SM CLR 09/06 A2966 1100 83 700 240/08 200V280 RMK AO2 T00890061
14837KMSN MSN20151101005011511/01/15 00:50:31  5-MIN KMSN 010650Z AUTO 23006KT 10SM CLR 09/06 A2967 1100 83 700 230/06 RMK AO2 SLP049 T00890061
14837KMSN MSN20151101005510811/01/15 00:55:31  5-MIN KMSN 010655Z AUTO 23008KT 10SM CLR 09/06 A2967 1100 83 700 230/08 RMK AO2 T00890061
