14837KMSN MSN20050501031509705/01/05 03:15:31  5-MIN KMSN 010915Z VRB04KT 10SM BKN085 04/M01 A2994 850 73 -200 VRB/04 RMK AO2
14837KMSN MSN20050501032009705/01/05 03:20:31  5-MIN KMSN 010920Z VRB05KT 10SM OVC080 04/M01 A2994 850 70 -200 VRB/05 RMK AO2
14837KMSN MSN20050501032509705/01/05 03:25:31  5-MIN KMSN 010925Z 24004KT 10SM OVC080 04/M01 A2994 850 70 -200 240/04 RMK AO2
14837KMSN MSN20050501033009705/01/05 03:30:31  5-MIN KMSN 010930Z VRB04KT 10SM OVC080 04/M01 A2994 850 70 -200 VRB/04 RMK AO2
14837KMSN MSN20050501033509705/01/05 03:35:31  5-MIN KMSN 010935Z VRB06KT 10SM OVC080 04/M01 A2994 850 70 -200 VRB/06 RMK AO2
14837KMSN MSN20050501034009705/01/05 03:40:31  5-MIN KMSN 010940Z VRB04KT 10SM OVC080 04/M01 A2994 850 70 -200 VRB/04 RMK AO2
14837KMSN MSN20050501034509705/01/05 03:45:31  5-MIN KMSN 010945Z VRB05KT 10SM OVC080 04/M01 A2994 850 70 -200 VRB/05 RMK AO2
14837KMSN MSN20050501035011405/01/05 03:50:31  5-MIN KMSN 010950Z VRB04KT 10SM BKN080 04/M02 A2994 850 67 -200 VRB/04 RMK AO2 SLP143 T00391017
14837KMSN MSN20050501035509705/01/05 03:55:31  5-MIN KMSN 010955Z VRB04KT 10SM OVC080 04/M02 A2994 850 67 -200 VRB/04 RMK AO2
14837KMSN MSN20050501040009705/01/05 04:00:31  5-MIN KMSN 011000Z 26005KT 10SM OVC075 04/M02 A2994 850 67 -200 260/05 RMK AO2
14837KMSN MSN20050501040510505/01/05 04:05:31  5-MIN KMSN 011005Z VRB06KT 10SM BKN075 OVC090 03/M02  A2993 850 70 -300 VRB/06 RMK AO2
14837KMSN MSN20050501041011205/01/05 04:10:31  5-MIN KMSN 011010Z VRB05KT 10SM FEW060 BKN075 OVC090  04/M02 A2993 850 67 -200 VRB/05 RMK AO2
14837KMSN MSN20050501041511205/01/05 04:15:31  5-MIN KMSN 011015Z VRB05KT 10SM SCT060 BKN070 OVC085  04/M02 A2993 850 67 -200 VRB/05 RMK AO2
14837KMSN MSN20050501042011205/01/05 04:20:31  5-MIN KMSN 011020Z 26005KT 10SM FEW055 BKN070 OVC080  04/M02 A2993 850 67 -200 260/05 RMK AO2
14837KMSN MSN20050501042511205/01/05 04:25:31  5-MIN KMSN 011025Z 25004KT 10SM FEW055 BKN070 OVC085  04/M02 A2993 850 67 -200 250/04 RMK AO2
