14837KMSN MSN20080901025509209/01/08 02:55:31  5-MIN KMSN 010855Z 00000KT 9SM CLR 17/13 A3009 700 80 1100 000/00 RMK AO2
14837KMSN MSN20080901030009209/01/08 03:00:31  5-MIN KMSN 010900Z 00000KT 9SM CLR 16/13 A3009 700 83 1000 000/00 RMK AO2
14837KMSN MSN20080901030509209/01/08 03:05:31  5-MIN KMSN 010905Z 00000KT 9SM CLR 16/13 A3010 700 83 1000 000/00 RMK AO2
14837KMSN MSN20080901031009209/01/08 03:10:31  5-MIN KMSN 010910Z 00000KT 9SM CLR 16/14 A3010 700 86 1000 000/00 RMK AO2
14837KMSN MSN20080901031509209/01/08 03:15:31  5-MIN KMSN 010915Z 18003KT 9SM CLR 17/14 A3009 700 83 1100 170/03 RMK AO2
14837KMSN MSN20080901032009209/01/08 03:20:31  5-MIN KMSN 010920Z 16003KT 9SM CLR 18/14 A3009 700 78 1200 160/03 RMK AO2
14837KMSN MSN20080901032509309/01/08 03:25:31  5-MIN KMSN 010925Z 16003KT 10SM CLR 18/14 A3009 700 75 1300 160/03 RMK AO2
14837KMSN MSN20080901033009309/01/08 03:30:31  5-MIN KMSN 010930Z 00000KT 10SM CLR 18/14 A3009 700 75 1300 000/00 RMK AO2
14837KMSN MSN20080901033509309/01/08 03:35:31  5-MIN KMSN 010935Z 00000KT 10SM CLR 18/14 A3009 700 75 1300 000/00 RMK AO2
14837KMSN MSN20080901034009309/01/08 03:40:31  5-MIN KMSN 010940Z 00000KT 10SM CLR 17/13 A3009 700 78 1200 000/00 RMK AO2
14837KMSN MSN20080901034509309/01/08 03:45:31  5-MIN KMSN 010945Z 00000KT 10SM CLR 17/13 A3010 700 80 1100 000/00 RMK AO2
14837KMSN MSN20080901035010909/01/08 03:50:31  5-MIN KMSN 010950Z 00000KT 9SM CLR 16/14 A3010 700 86 1000 000/00 RMK AO2 SLP186 T01610139
14837KMSN MSN20080901035509209/01/08 03:55:31  5-MIN KMSN 010955Z 00000KT 9SM CLR 16/14 A3010 700 86 1000 000/00 RMK AO2
14837KMSN MSN20080901040009209/01/08 04:00:31  5-MIN KMSN 011000Z 00000KT 9SM CLR 16/14 A3010 700 86 1000 000/00 RMK AO2
14837KMSN MSN20080901040509209/01/08 04:05:31  5-MIN KMSN 011005Z 00000KT 9SM CLR 16/14 A3010 700 86 1000 000/00 RMK AO2
14837KMSN MSN20080901041009109/01/08 04:10:31  5-MIN KMSN 011010Z 00000KT 8SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901041509109/01/08 04:15:31  5-MIN KMSN 011015Z 00000KT 8SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901042009109/01/08 04:20:31  5-MIN KMSN 011020Z 00000KT 8SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901042509109/01/08 04:25:31  5-MIN KMSN 011025Z 00000KT 7SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901043009109/01/08 04:30:31  5-MIN KMSN 011030Z 00000KT 8SM CLR 15/14 A3010 700 93 900 000/00 RMK AO2
14837KMSN MSN20080901043509109/01/08 04:35:31  5-MIN KMSN 011035Z 00000KT 8SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901044009109/01/08 04:40:31  5-MIN KMSN 011040Z 00000KT 8SM CLR 14/13 A3010 700 96 800 000/00 RMK AO2
14837KMSN MSN20080901044509109/01/08 04:45:31  5-MIN KMSN 011045Z 00000KT 7SM CLR 14/13 A3010 700 93 800 000/00 RMK AO2
14837KMSN MSN20080901045010809/01/08 04:50:31  5-MIN KMSN 011050Z 00000KT 8SM CLR 15/13 A3010 690 90 900 000/00 RMK AO2 SLP190 T01500133
14837KMSN MSN20080901045509109/01/08 04:55:31  5-MIN KMSN 011055Z 00000KT 8SM CLR 15/13 A3011 690 90 900 000/00 RMK AO2
14837KMSN MSN20080901050009209/01/08 05:00:31  5-MIN KMSN 011100Z 19004KT 8SM CLR 16/13 A3011 690 86 1000 190/04 RMK AO2
14837KMSN MSN20080901050509209/01/08 05:05:31  5-MIN KMSN 011105Z 17004KT 9SM CLR 17/13 A3011 690 78 1200 170/04 RMK AO2
14837KMSN MSN20080901051009209/01/08 05:10:31  5-MIN KMSN 011110Z 16005KT 9SM CLR 18/13 A3011 690 72 1300 160/05 RMK AO2
14837KMSN MSN20080901051509209/01/08 05:15:31  5-MIN KMSN 011115Z 16005KT 9SM CLR 18/13 A3011 690 75 1200 150/05 RMK AO2
14837KMSN MSN20080901052009209/01/08 05:20:31  5-MIN KMSN 011120Z 00000KT 9SM CLR 18/13 A3011 690 75 1200 000/00 RMK AO2
14837KMSN MSN20080901052509209/01/08 05:25:31  5-MIN KMSN 011125Z 00000KT 8SM CLR 18/13 A3011 690 75 1200 000/00 RMK AO2
14837KMSN MSN20080901053009209/01/08 05:30:31  5-MIN KMSN 011130Z 00000KT 8SM CLR 17/13 A3012 680 80 1100 000/00 RMK AO2
14837KMSN MSN20080901053509209/01/08 05:35:31  5-MIN KMSN 011135Z 00000KT 7SM CLR 16/13 A3012 680 83 1000 000/00 RMK AO2
14837KMSN MSN20080901054009209/01/08 05:40:31  5-MIN KMSN 011140Z 00000KT 7SM CLR 16/13 A3012 680 83 1000 000/00 RMK AO2
14837KMSN MSN20080901054509109/01/08 05:45:31  5-MIN KMSN 011145Z 00000KT 7SM CLR 16/13 A3012 680 86 900 000/00 RMK AO2
14837KMSN MSN20080901055012709/01/08 05:50:31  5-MIN KMSN 011150Z 00000KT 7SM CLR 16/13 A3012 680 83 1000 000/00 RMK AO2 SLP197 T01610133 10206 20139 56006
14837KMSN MSN20080901055509109/01/08 05:55:31  5-MIN KMSN 011155Z 00000KT 7SM CLR 14/13 A3013 670 90 800 000/00 RMK AO2
14837KMSN MSN20080901060009109/01/08 06:00:31  5-MIN KMSN 011200Z 00000KT 7SM CLR 14/13 A3013 670 90 800 000/00 RMK AO2
14837KMSN MSN20080901060509109/01/08 06:05:31  5-MIN KMSN 011205Z 00000KT 7SM CLR 15/13 A3013 670 90 900 000/00 RMK AO2
14837KMSN MSN20080901061009109/01/08 06:10:31  5-MIN KMSN 011210Z 00000KT 7SM CLR 16/13 A3013 670 86 900 000/00 RMK AO2
14837KMSN MSN20080901061509209/01/08 06:15:31  5-MIN KMSN 011215Z 15004KT 7SM CLR 17/13 A3013 670 80 1100 150/04 RMK AO2
14837KMSN MSN20080901062009209/01/08 06:20:31  5-MIN KMSN 011220Z 14005KT 8SM CLR 18/14 A3013 670 78 1300 140/05 RMK AO2
14837KMSN MSN20080901062509209/01/08 06:25:31  5-MIN KMSN 011225Z 14004KT 8SM CLR 18/14 A3013 670 78 1300 140/04 RMK AO2
14837KMSN MSN20080901063009209/01/08 06:30:31  5-MIN KMSN 011230Z 15004KT 9SM CLR 19/14 A3013 670 75 1300 150/04 RMK AO2
14837KMSN MSN20080901063509209/01/08 06:35:31  5-MIN KMSN 011235Z 16005KT 9SM CLR 19/14 A3013 670 72 1400 160/05 RMK AO2
14837KMSN MSN20080901064009209/01/08 06:40:31  5-MIN KMSN 011240Z 16004KT 9SM CLR 19/14 A3013 670 70 1400 160/04 RMK AO2
14837KMSN MSN20080901064509209/01/08 06:45:31  5-MIN KMSN 011245Z 16004KT 9SM CLR 20/14 A3014 670 67 1400 160/04 RMK AO2
14837KMSN MSN20080901065011009/01/08 06:50:31  5-MIN KMSN 011250Z 16003KT 10SM CLR 20/14 A3014 660 67 1400 150/03 RMK AO2 SLP202 T02000139
14837KMSN MSN20080901065509309/01/08 06:55:31  5-MIN KMSN 011255Z 14004KT 10SM CLR 20/14 A3014 670 70 1400 140/04 RMK AO2
14837KMSN MSN20080901070009309/01/08 07:00:31  5-MIN KMSN 011300Z 15003KT 10SM CLR 21/14 A3014 670 67 1500 150/03 RMK AO2
14837KMSN MSN20080901070509309/01/08 07:05:31  5-MIN KMSN 011305Z 14004KT 10SM CLR 21/14 A3013 670 67 1500 140/04 RMK AO2
14837KMSN MSN20080901071009309/01/08 07:10:31  5-MIN KMSN 011310Z 14004KT 10SM CLR 21/14 A3013 670 65 1600 140/04 RMK AO2
14837KMSN MSN20080901071509309/01/08 07:15:31  5-MIN KMSN 011315Z 17003KT 10SM CLR 21/14 A3013 670 63 1600 170/03 RMK AO2
14837KMSN MSN20080901072009309/01/08 07:20:31  5-MIN KMSN 011320Z 16003KT 10SM CLR 22/14 A3013 670 61 1600 160/03 RMK AO2
14837KMSN MSN20080901072509309/01/08 07:25:31  5-MIN KMSN 011325Z 17003KT 10SM CLR 22/14 A3013 670 63 1600 170/03 RMK AO2
14837KMSN MSN20080901073009309/01/08 07:30:31  5-MIN KMSN 011330Z 18005KT 10SM CLR 22/14 A3013 670 61 1600 180/05 RMK AO2
14837KMSN MSN20080901073509309/01/08 07:35:31  5-MIN KMSN 011335Z 17005KT 10SM CLR 22/14 A3013 670 59 1700 170/05 RMK AO2
14837KMSN MSN20080901074009309/01/08 07:40:31  5-MIN KMSN 011340Z 17004KT 10SM CLR 22/14 A3013 670 59 1700 170/04 RMK AO2
14837KMSN MSN20080901074509309/01/08 07:45:31  5-MIN KMSN 011345Z 17006KT 10SM CLR 22/14 A3013 670 59 1700 170/06 RMK AO2
14837KMSN MSN20080901075011009/01/08 07:50:31  5-MIN KMSN 011350Z 17007KT 10SM CLR 23/14 A3013 670 57 1800 170/07 RMK AO2 SLP199 T02280139
14837KMSN MSN20080901075509309/01/08 07:55:31  5-MIN KMSN 011355Z 17007KT 10SM CLR 23/14 A3013 670 57 1800 170/07 RMK AO2
14837KMSN MSN20080901080009309/01/08 08:00:31  5-MIN KMSN 011400Z 17008KT 10SM CLR 23/13 A3013 670 53 1800 170/08 RMK AO2
14837KMSN MSN20080901080509309/01/08 08:05:31  5-MIN KMSN 011405Z 18007KT 10SM CLR 23/13 A3013 670 53 1800 180/07 RMK AO2
14837KMSN MSN20080901081009309/01/08 08:10:31  5-MIN KMSN 011410Z 19007KT 10SM CLR 23/13 A3013 670 53 1800 190/07 RMK AO2
14837KMSN MSN20080901081509309/01/08 08:15:31  5-MIN KMSN 011415Z 18007KT 10SM CLR 24/14 A3013 670 53 1900 180/07 RMK AO2
14837KMSN MSN20080901082009309/01/08 08:20:31  5-MIN KMSN 011420Z 18007KT 10SM CLR 24/14 A3013 670 53 1900 180/07 RMK AO2
14837KMSN MSN20080901082509309/01/08 08:25:31  5-MIN KMSN 011425Z 18009KT 10SM CLR 24/14 A3013 670 53 1900 180/09 RMK AO2
14837KMSN MSN20080901083009609/01/08 08:30:31  5-MIN KMSN 011430Z 17009KT 10SM FEW060 24/14 A3013 670 53 1900 170/09 RMK AO2
14837KMSN MSN20080901083509609/01/08 08:35:31  5-MIN KMSN 011435Z 17010KT 10SM SCT060 24/14 A3013 670 51 2000 170/10 RMK AO2
14837KMSN MSN20080901084009609/01/08 08:40:31  5-MIN KMSN 011440Z 18007KT 10SM BKN060 25/14 A3013 670 49 2000 180/07 RMK AO2
14837KMSN MSN20080901084509609/01/08 08:45:31  5-MIN KMSN 011445Z 17009KT 10SM SCT060 25/14 A3013 670 49 2000 170/09 RMK AO2
14837KMSN MSN20080901085011909/01/08 08:50:31  5-MIN KMSN 011450Z 18007KT 10SM FEW060 25/14 A3013 670 49 2000 180/07 RMK AO2 SLP199 T02500139 53011
14837KMSN MSN20080901085509609/01/08 08:55:31  5-MIN KMSN 011455Z 18007KT 10SM SCT060 25/14 A3013 670 49 2000 180/07 RMK AO2
14837KMSN MSN20080901090009609/01/08 09:00:31  5-MIN KMSN 011500Z 17009KT 10SM SCT065 26/14 A3013 670 48 2100 170/09 RMK AO2
14837KMSN MSN20080901090509609/01/08 09:05:31  5-MIN KMSN 011505Z 18010KT 10SM FEW065 26/14 A3013 670 48 2100 180/10 RMK AO2
14837KMSN MSN20080901091009609/01/08 09:10:31  5-MIN KMSN 011510Z 19009KT 10SM FEW065 26/14 A3013 670 48 2100 180/09 RMK AO2
14837KMSN MSN20080901091509309/01/08 09:15:31  5-MIN KMSN 011515Z 18008KT 10SM CLR 26/14 A3013 670 48 2100 180/08 RMK AO2
14837KMSN MSN20080901092009309/01/08 09:20:31  5-MIN KMSN 011520Z 18008KT 10SM CLR 26/14 A3013 670 48 2100 180/08 RMK AO2
14837KMSN MSN20080901092509309/01/08 09:25:31  5-MIN KMSN 011525Z 18007KT 10SM CLR 26/14 A3013 670 48 2100 180/07 RMK AO2
14837KMSN MSN20080901093009309/01/08 09:30:31  5-MIN KMSN 011530Z 18008KT 10SM CLR 26/14 A3013 670 48 2100 180/08 RMK AO2
14837KMSN MSN20080901093509309/01/08 09:35:31  5-MIN KMSN 011535Z 19006KT 10SM CLR 26/14 A3013 670 48 2100 190/06 RMK AO2
14837KMSN MSN20080901094009309/01/08 09:40:31  5-MIN KMSN 011540Z 18007KT 10SM CLR 27/15 A3013 680 48 2200 180/07 RMK AO2
14837KMSN MSN20080901094509309/01/08 09:45:31  5-MIN KMSN 011545Z 18007KT 10SM CLR 27/15 A3012 680 46 2300 180/07 RMK AO2
14837KMSN MSN20080901095011009/01/08 09:50:31  5-MIN KMSN 011550Z 18007KT 10SM CLR 27/14 A3012 680 46 2200 180/07 RMK AO2 SLP196 T02670144
14837KMSN MSN20080901095509309/01/08 09:55:31  5-MIN KMSN 011555Z 19007KT 10SM CLR 27/14 A3012 680 45 2300 190/07 RMK AO2
14837KMSN MSN20080901100009309/01/08 10:00:31  5-MIN KMSN 011600Z 18008KT 10SM CLR 28/14 A3012 680 42 2300 180/08 RMK AO2
14837KMSN MSN20080901100509309/01/08 10:05:31  5-MIN KMSN 011605Z 19007KT 10SM CLR 28/14 A3012 680 43 2300 190/07 RMK AO2
14837KMSN MSN20080901101009309/01/08 10:10:31  5-MIN KMSN 011610Z 18007KT 10SM CLR 28/14 A3012 680 42 2300 180/07 RMK AO2
14837KMSN MSN20080901101509309/01/08 10:15:31  5-MIN KMSN 011615Z 18009KT 10SM CLR 28/14 A3012 680 42 2300 180/09 RMK AO2
14837KMSN MSN20080901102009309/01/08 10:20:31  5-MIN KMSN 011620Z 19009KT 10SM CLR 28/14 A3011 690 42 2400 190/09 RMK AO2
14837KMSN MSN20080901102509309/01/08 10:25:31  5-MIN KMSN 011625Z 17008KT 10SM CLR 28/14 A3011 690 42 2400 170/08 RMK AO2
14837KMSN MSN20080901103009309/01/08 10:30:31  5-MIN KMSN 011630Z 18008KT 10SM CLR 28/14 A3011 690 42 2400 180/08 RMK AO2
14837KMSN MSN20080901103509309/01/08 10:35:31  5-MIN KMSN 011635Z 17009KT 10SM CLR 28/14 A3011 690 42 2400 170/09 RMK AO2
14837KMSN MSN20080901104009309/01/08 10:40:31  5-MIN KMSN 011640Z 18009KT 10SM CLR 28/14 A3011 690 42 2400 180/09 RMK AO2
14837KMSN MSN20080901104509309/01/08 10:45:31  5-MIN KMSN 011645Z 19008KT 10SM CLR 28/14 A3011 690 42 2400 190/08 RMK AO2
14837KMSN MSN20080901105011009/01/08 10:50:31  5-MIN KMSN 011650Z 19009KT 10SM CLR 29/15 A3011 690 42 2500 190/09 RMK AO2 SLP190 T02890150
14837KMSN MSN20080901105509309/01/08 10:55:31  5-MIN KMSN 011655Z 19009KT 10SM CLR 29/15 A3011 690 42 2500 180/09 RMK AO2
14837KMSN MSN20080901110009309/01/08 11:00:31  5-MIN KMSN 011700Z 18009KT 10SM CLR 29/15 A3011 690 42 2500 170/09 RMK AO2
14837KMSN MSN20080901110509309/01/08 11:05:31  5-MIN KMSN 011705Z 19010KT 10SM CLR 29/15 A3011 690 41 2500 190/10 RMK AO2
14837KMSN MSN20080901111009309/01/08 11:10:31  5-MIN KMSN 011710Z 19006KT 10SM CLR 29/15 A3010 700 41 2500 190/06 RMK AO2
14837KMSN MSN20080901111509309/01/08 11:15:31  5-MIN KMSN 011715Z 17008KT 10SM CLR 29/16 A3010 700 42 2600 170/08 RMK AO2
14837KMSN MSN20080901112009309/01/08 11:20:31  5-MIN KMSN 011720Z 19008KT 10SM CLR 29/15 A3010 700 41 2600 190/08 RMK AO2
14837KMSN MSN20080901112509309/01/08 11:25:31  5-MIN KMSN 011725Z 19009KT 10SM CLR 29/15 A3010 700 41 2600 190/09 RMK AO2
14837KMSN MSN20080901113009309/01/08 11:30:31  5-MIN KMSN 011730Z 19008KT 10SM CLR 29/15 A3010 700 41 2600 190/08 RMK AO2
14837KMSN MSN20080901113509909/01/08 11:35:31  5-MIN KMSN 011735Z 19008G14KT 10SM CLR 30/16 A3009 710 41 2600 190/08G14 RMK AO2
14837KMSN MSN20080901114009909/01/08 11:40:31  5-MIN KMSN 011740Z 19009G14KT 10SM CLR 29/15 A3009 710 41 2600 190/09G14 RMK AO2
14837KMSN MSN20080901114509309/01/08 11:45:31  5-MIN KMSN 011745Z VRB06KT 10SM CLR 30/16 A3009 710 41 2600 VRB/06 RMK AO2
14837KMSN MSN20080901115012809/01/08 11:50:31  5-MIN KMSN 011750Z 18008KT 10SM CLR 31/16 A3009 710 39 2700 180/08 RMK AO2 SLP184 T03060156 10306 20144 51001
14837KMSN MSN20080901115509309/01/08 11:55:31  5-MIN KMSN 011755Z 16009KT 10SM CLR 30/16 A3009 710 41 2600 160/09 RMK AO2
14837KMSN MSN20080901120009309/01/08 12:00:31  5-MIN KMSN 011800Z 19007KT 10SM CLR 30/16 A3009 710 41 2600 190/07 RMK AO2
14837KMSN MSN20080901120509309/01/08 12:05:31  5-MIN KMSN 011805Z 16010KT 10SM CLR 31/16 A3008 710 39 2700 160/10 RMK AO2
14837KMSN MSN20080901121009909/01/08 12:10:31  5-MIN KMSN 011810Z 19010G15KT 10SM CLR 31/15 A3008 710 38 2700 190/10G15 RMK AO2
14837KMSN MSN20080901121509909/01/08 12:15:31  5-MIN KMSN 011815Z 18011G15KT 10SM CLR 31/15 A3008 710 38 2700 180/11G15 RMK AO2
14837KMSN MSN20080901122009909/01/08 12:20:31  5-MIN KMSN 011820Z 17008G15KT 10SM CLR 31/16 A3008 720 39 2700 170/08G15 RMK AO2
14837KMSN MSN20080901122509909/01/08 12:25:31  5-MIN KMSN 011825Z 18010G16KT 10SM CLR 31/16 A3008 720 39 2700 180/10G16 RMK AO2
14837KMSN MSN20080901123009909/01/08 12:30:31  5-MIN KMSN 011830Z 19010G16KT 10SM CLR 31/15 A3008 720 38 2700 190/10G16 RMK AO2
14837KMSN MSN20080901123509209/01/08 12:35:31  5-MIN KMSN 011835Z 17013KT 9SM CLR 31/16 A3008 720 38 2800 170/13 RMK AO2
14837KMSN MSN20080901124009209/01/08 12:40:31  5-MIN KMSN 011840Z 17008KT 9SM CLR 31/16 A3008 720 39 2700 170/08 RMK AO2
14837KMSN MSN20080901124511509/01/08 12:45:31  5-MIN KMSN 011845Z 19009G16KT 170V230 10SM CLR 31/16 A3008 720 38 2800 190/09G16 170V230 RMK AO2
14837KMSN MSN20080901125011609/01/08 12:50:31  5-MIN KMSN 011850Z 17008G18KT 10SM CLR 31/16 A3008 720 38 2800 160/08G18 RMK AO2 SLP178 T03110156
14837KMSN MSN20080901125509809/01/08 12:55:31  5-MIN KMSN 011855Z 17009G18KT 9SM CLR 31/16 A3007 720 38 2800 170/09G18 RMK AO2
14837KMSN MSN20080901130009809/01/08 13:00:31  5-MIN KMSN 011900Z 19009G16KT 9SM CLR 31/16 A3007 720 38 2800 190/09G16 RMK AO2
14837KMSN MSN20080901130509309/01/08 13:05:31  5-MIN KMSN 011905Z 18008KT 10SM CLR 31/16 A3007 730 38 2800 180/08 RMK AO2
14837KMSN MSN20080901131009909/01/08 13:10:31  5-MIN KMSN 011910Z 18010G20KT 10SM CLR 31/16 A3007 730 38 2800 180/10G20 RMK AO2
14837KMSN MSN20080901131509909/01/08 13:15:31  5-MIN KMSN 011915Z 19010G20KT 10SM CLR 32/16 A3007 730 37 2800 190/10G20 RMK AO2
