14837KMSN MSN20020801000009308/01/02 00:00:32  5-MIN KMSN 010600Z 18008KT 10SM CLR 24/21 A2990 880 78 2200 180/08 RMK AO2
14837KMSN MSN20020801000509308/01/02 00:05:31  5-MIN KMSN 010605Z 18008KT 10SM CLR 24/21 A2990 880 78 2200 180/08 RMK AO2
14837KMSN MSN20020801001009308/01/02 00:10:31  5-MIN KMSN 010610Z 18007KT 10SM CLR 24/21 A2990 880 78 2200 170/07 RMK AO2
14837KMSN MSN20020801001509308/01/02 00:15:31  5-MIN KMSN 010615Z 17007KT 10SM CLR 24/21 A2990 890 78 2200 170/07 RMK AO2
14837KMSN MSN20020801002009308/01/02 00:20:31  5-MIN KMSN 010620Z 18006KT 10SM CLR 24/21 A2990 880 81 2200 180/06 RMK AO2
14837KMSN MSN20020801002509308/01/02 00:25:31  5-MIN KMSN 010625Z VRB03KT 10SM CLR 24/21 A2990 880 81 2200 VRB/03 RMK AO2
14837KMSN MSN20020801003009308/01/02 00:30:31  5-MIN KMSN 010630Z 17007KT 10SM CLR 24/21 A2990 890 78 2200 170/07 RMK AO2
14837KMSN MSN20020801003509308/01/02 00:35:31  5-MIN KMSN 010635Z 18007KT 10SM CLR 24/21 A2990 880 81 2200 180/07 RMK AO2
14837KMSN MSN20020801004009308/01/02 00:40:31  5-MIN KMSN 010640Z 17007KT 10SM CLR 24/21 A2990 880 81 2200 170/07 RMK AO2
14837KMSN MSN20020801004509308/01/02 00:45:31  5-MIN KMSN 010645Z 18007KT 10SM CLR 24/21 A2990 890 84 2200 170/07 RMK AO2
14837KMSN MSN20020801005011008/01/02 00:50:31  5-MIN KMSN 010650Z 18008KT 10SM CLR 24/21 A2990 890 84 2200 180/08 RMK AO2 SLP117 T02390211
14837KMSN MSN20020801005509308/01/02 00:55:31  5-MIN KMSN 010655Z 18009KT 10SM CLR 24/21 A2990 890 84 2200 180/09 RMK AO2
14837KMSN MSN20020801010009308/01/02 01:00:31  5-MIN KMSN 010700Z 19008KT 10SM CLR 24/21 A2990 890 84 2200 180/08 RMK AO2
14837KMSN MSN20020801010509308/01/02 01:05:31  5-MIN KMSN 010705Z 18008KT 10SM CLR 24/21 A2990 890 84 2200 180/08 RMK AO2
14837KMSN MSN20020801011009308/01/02 01:10:31  5-MIN KMSN 010710Z 19006KT 10SM CLR 24/21 A2990 880 84 2200 190/06 RMK AO2
14837KMSN MSN20020801011509308/01/02 01:15:31  5-MIN KMSN 010715Z 19006KT 10SM CLR 24/21 A2990 880 84 2200 190/06 RMK AO2
14837KMSN MSN20020801012009308/01/02 01:20:31  5-MIN KMSN 010720Z 18007KT 10SM CLR 24/21 A2990 890 84 2200 180/07 RMK AO2
14837KMSN MSN20020801012509308/01/02 01:25:31  5-MIN KMSN 010725Z 19007KT 10SM CLR 24/21 A2989 890 84 2200 180/07 RMK AO2
14837KMSN MSN20020801013009308/01/02 01:30:31  5-MIN KMSN 010730Z 19006KT 10SM CLR 24/21 A2989 890 84 2200 190/06 RMK AO2
14837KMSN MSN20020801013509308/01/02 01:35:31  5-MIN KMSN 010735Z 19007KT 10SM CLR 24/21 A2989 890 84 2200 190/07 RMK AO2
14837KMSN MSN20020801014009308/01/02 01:40:31  5-MIN KMSN 010740Z 18007KT 10SM CLR 24/21 A2989 890 84 2200 180/07 RMK AO2
14837KMSN MSN20020801014509308/01/02 01:45:31  5-MIN KMSN 010745Z 18008KT 10SM CLR 24/21 A2988 900 84 2200 180/08 RMK AO2
