14837KMSN MSN20050401025011704/01/05 02:50:31  5-MIN KMSN 010850Z 00000KT 8SM CLR 01/M01 A3007 730 92  -800 000/00 RMK AO2 SLP188 T00061006 53014
14837KMSN MSN20050401025509404/01/05 02:55:31  5-MIN KMSN 010855Z 00000KT 7SM CLR 01/M01 A3007 730 92  -800 000/00 RMK AO2
14837KMSN MSN20050401030009704/01/05 03:00:31  5-MIN KMSN 010900Z 00000KT 6SM BR CLR 01/M01 A3007 730  92 -800 000/00 RMK AO2
14837KMSN MSN20050401030509704/01/05 03:05:31  5-MIN KMSN 010905Z 00000KT 6SM BR CLR 01/M01 A3007 730  92 -800 000/00 RMK AO2
14837KMSN MSN20050401031009704/01/05 03:10:31  5-MIN KMSN 010910Z 00000KT 4SM BR CLR 01/M01 A3007 730  92 -800 000/00 RMK AO2
14837KMSN MSN20050401031509704/01/05 03:15:31  5-MIN KMSN 010915Z 00000KT 3SM BR CLR 01/M01 A3007 730  92 -800 000/00 RMK AO2
14837KMSN MSN20050401032009704/01/05 03:20:31  5-MIN KMSN 010920Z 00000KT 3SM BR CLR 01/M01 A3007 730  92 -800 000/00 RMK AO2
14837KMSN MSN20050401032509704/01/05 03:25:31  5-MIN KMSN 010925Z 00000KT 4SM BR CLR 00/M01 A3007 730  96 -800 000/00 RMK AO2
14837KMSN MSN20050401033009704/01/05 03:30:31  5-MIN KMSN 010930Z 00000KT 4SM BR CLR 00/M01 A3008 720  96 -800 000/00 RMK AO2
14837KMSN MSN20050401033509704/01/05 03:35:31  5-MIN KMSN 010935Z 00000KT 5SM BR CLR 00/M01 A3008 720  96 -800 000/00 RMK AO2
14837KMSN MSN20050401034009704/01/05 03:40:31  5-MIN KMSN 010940Z 00000KT 6SM BR CLR 00/M01 A3008 720  96 -800 000/00 RMK AO2
14837KMSN MSN20050401034509704/01/05 03:45:31  5-MIN KMSN 010945Z 00000KT 3SM BR CLR 00/M01 A3008 720  92 -800 000/00 RMK AO2
14837KMSN MSN20050401035011404/01/05 03:50:31  5-MIN KMSN 010950Z 00000KT 5SM BR CLR 00/M01 A3008 720  96 -800 000/00 RMK AO2 SLP191 T00001006
14837KMSN MSN20050401035509704/01/05 03:55:31  5-MIN KMSN 010955Z 00000KT 4SM BR CLR 00/M01 A3008 720  96 -800 000/00 RMK AO2
14837KMSN MSN20050401040009704/01/05 04:00:31  5-MIN KMSN 011000Z 00000KT 5SM BR CLR M01/M01 A3008 720 96 -900 000/00 RMK AO2
14837KMSN MSN20050401040509704/01/05 04:05:31  5-MIN KMSN 011005Z 00000KT 5SM BR CLR M01/M01 A3008 720 96 -900 000/00 RMK AO2
14837KMSN MSN20050401041009704/01/05 04:10:31  5-MIN KMSN 011010Z 00000KT 5SM BR CLR 00/M01 A3008 720  92 -900 000/00 RMK AO2
14837KMSN MSN20050401041509704/01/05 04:15:31  5-MIN KMSN 011015Z 00000KT 5SM BR CLR 00/M01 A3008 720  92 -900 000/00 RMK AO2
14837KMSN MSN20050401042009704/01/05 04:20:31  5-MIN KMSN 011020Z 00000KT 5SM BR CLR 00/M01 A3008 720  92 -800 000/00 RMK AO2
14837KMSN MSN20050401042509704/01/05 04:25:31  5-MIN KMSN 011025Z 00000KT 5SM BR CLR 00/M01 A3008 720  92 -900 000/00 RMK AO2
14837KMSN MSN20050401043009704/01/05 04:30:31  5-MIN KMSN 011030Z 00000KT 5SM BR CLR M01/M01 A3008 720 96 -900 000/00 RMK AO2
14837KMSN MSN20050401043509704/01/05 04:35:31  5-MIN KMSN 011035Z 00000KT 6SM BR CLR M01/M01 A3008 710 96 -900 000/00 RMK AO2
